"","cluster_assignment","id","name","IBU","ABV","SRM"
"139","19","qUIYuC","Bigfoot",0.436267469163039,2.03104851386712,0.251201868289573
"140","7","9HcWSd","Bigfoot",1.86100953634399,2.03104851386712,0.120248390126876
"141","7","dapUuF","Bigfoot (2016)",1.86100953634399,2.03104851386712,0.120248390126876
"142","7","AFNvz4","Bigfoot (2018)",1.86100953634399,2.03104851386712,0.120248390126876
"143","7","0T4pOY","Bigfoot Barrel-Aged",1.86100953634399,2.03104851386712,0.120248390126876
"144","15","Rxu5Bd","Bing Bing",0.911181491556689,0.217071807682988,-0.447216681911477
"145","7","BJymUV","Bitter Oats",1.9797380419424,1.37142062070925,-0.534519000686608
"146","5","gLBFNH","Bitter Over Ewe",-0.157375058829022,-0.662432049860835,-0.359914363136346
"147","3","tLwMOd","Black Brew Bae",0.911181491556689,0.134618321038254,1.7353412874668
"148","17","pkEofb","Black Cat Porter",-0.751017586821084,-0.689916545409079,1.08057389665332
"149","16","yxUgyc","Black Cat Stout",0.317538963564627,0.409463276520699,2.17185288134246
"150","8","4fKoj3","Black Crown",-0.798508989060449,-0.772370032053813,-0.447216681911477
"151","3","yoGDFl","Black Eye PA",0.911181491556689,0.134618321038254,1.7353412874668
"152","15","kZadFf","Black IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"153","15","fyj05b","Black IPA",0.911181491556689,0.217071807682988,-0.447216681911477
"154","9","HSChH3","Black Lager (Hatchery Series Release #3)",-1.130948804736,-0.964761500891524,0.38215534645227
"155","3","E6kkPh","Black Mad Hatter India Pale Ale",0.911181491556689,0.134618321038254,1.7353412874668
"156","18","ja4TBb","Black Mamba",-0.751017586821084,0.876699700840855,0.207550708902008
"157","17","NgU9h0","Black Shack Porter",-0.394832070025847,-0.415071589926635,1.29882969359115
"158","19","Du7C2e","Black Tulip",-0.394832070025847,1.09657566522681,-0.752774797624436
"159","17","i0Hy6x","Black Vapor",-0.703526184581719,-1.15715296972923,1.08057389665332
"160","17","fekpJv","Blackstrap Fever",-0.751017586821084,-0.689916545409079,1.08057389665332
"161","18","QFJ250","Blantons Barrel Aged Scotch Ale",-0.513560575624259,0.327009789875965,0.644062302777664
"162","3","d16niD","Blindfold",0.911181491556689,0.134618321038254,1.7353412874668
"163","18","24mTU2","Blizzicane Bock",-0.751017586821084,0.217071807682988,0.862318099715492
"164","4","95tyDm","Blonde Ale",-0.988474598017909,-1.10218397863275,-0.883728275787133
"165","7","IlrJbh","Blood Shot",1.38609551395034,1.48135860290223,-0.228960884973649
"166","18","wzCyVT","Blue",-0.157375058829022,0.409463276520699,1.08057389665332
"167","15","bK4vxh","Blue Dream",0.911181491556689,0.217071807682988,-0.447216681911477
"168","9","oYED15","Blue Ridge Red",-0.798508989060449,-1.23960645637397,-0.0543562474233861
"169","18","932XO8","Blueberry Ale",-0.157375058829022,0.409463276520699,1.08057389665332
"170","18","WTmAem","Blueberry Porter",-0.157375058829022,0.409463276520699,1.08057389665332
"171","10","l7Dmxe","Blueberry Saison",-0.513560575624259,-0.00280415670296819,-0.534519000686608
"172","6","5LwuwE","Bob White",-1.29716871257378,-0.827339023150302,-1.0583329133374
"173","10","qpPzL7","Bobolink",-0.513560575624259,-0.00280415670296819,-0.534519000686608
"174","1","vmmRA5","Bohemian Dock Street Pilsner",-0.394832070025847,-1.10218397863275,-1.01468175394983
"175","18","75agIj","Bolivia Newton John",-0.632289081222672,0.409463276520699,1.21152737481602
"176","10","HgMkeg","Bonnaroo Brew",-0.513560575624259,-0.00280415670296819,-0.534519000686608
"177","15","AEFy0R","Boomerang",0.911181491556689,0.217071807682988,-0.447216681911477
"178","5","QdPbTF","Born Yesterday",-0.22861216218807,-0.799854527602057,-0.447216681911477
"179","16","NU4qr0","Bosden",0.317538963564627,0.409463276520699,2.17185288134246
"180","15","Yjd19k","Bottle Rocket IPA",0.911181491556689,0.217071807682988,-0.447216681911477
